"qualifying","position","displayName","nflId_def","routes","eps_tracking_w_penalties","eps_tracking","normalized_avg_max_epa","penalties_and_time_to_throw_normalized_tracking_epa","penalities_count","tracking_penalty_perc","penalties_eps"
1,"SS","Lano Hill",2558077,30,0.808441336995204,0.760504322934935,0.266489841293549,0.266489841293549,0,0,0
1,"CB","Aaron Colvin",2543501,123,0.797715526838122,0.720028391694372,0.382217428921252,0.380095069367983,1,0.00806451612903226,-0.119044844315879
1,"CB","Stephon Gilmore",2533062,126,0.784468400096351,2.35726073826928,0.301875131294528,0.311029788386917,2,0.015625,-1.77554637041478
1,"DB","Tre Sullivan",2559260,30,0.767325658987707,0.719388644927438,0.273923525819358,0.273923525819358,0,0,0
1,"S","Minkah Fitzpatrick",2560725,131,0.762159665305099,1.5456856257259,0.350106462841965,0.349681542250643,3,0.0223880597014925,-0.993380029288768
1,"SS","Karl Joseph",2555342,21,0.757448988805842,0.723893078963654,0.206905502578866,0.206905502578866,0,0,0
1,"CB","Josh Norman",2532920,154,0.757326787646246,4.27417694533092,0.244732310225626,0.262362065828941,4,0.0253164556962025,-3.76443062622621
1,"CB","Mike Ford",2561527,62,0.741197797541241,0.642127968483351,0.355551179180099,0.355551179180099,0,0,0
1,"CB","Donte Jackson",2560753,176,0.726476318578167,1.92886362233111,0.343523117364901,0.349977745255263,1,0.00564971751412429,-1.48599225395891
1,"CB","Nickell Robey-Coleman",2540197,236,0.723218405690764,2.13734288943274,0.365692824843387,0.371719841535349,1,0.00421940928270042,-1.79409578083848
1,"CB","Steven Nelson",2552265,159,0.670770679076217,3.53437874180604,0.274890193671465,0.289054793170809,3,0.0185185185185185,-3.1193356999082
1,"CB","Jimmy Smith",2508107,122,0.659629928110495,0.985618256856697,0.341481701469133,0.342947426789923,1,0.00813008130081301,-0.521765915926227
1,"FS","Antoine Bethea",2495807,85,0.652115633643931,1.60022460293592,0.30817397175364,0.31721456852641,1,0.0116279069767442,-1.08566529421186
1,"CB","Chris Harris",2530510,151,0.647508935136637,1.4187190244609,0.353006144368741,0.355014578027155,2,0.0130718954248366,-1.01330263847475
1,"S","Terrell Edmunds",2560712,143,0.643081300887329,1.69301264107427,0.334149457257163,0.340721177569942,1,0.00694444444444444,-1.28047718229728
1,"FS","Tedric Thompson",2557881,20,0.622125295661983,0.590167286288471,0.239981440663737,0.239981440663737,0,0,0
1,"CB","Casey Hayward",2532861,125,0.603763039096232,1.919148704783,0.327324699288537,0.336770916874466,1,0.00793650793650794,-1.5175481151156
1,"CB","Prince Amukamara",2495108,143,0.595219527553953,3.98916403624958,0.245626673572044,0.267241069402444,2,0.0137931034482759,-3.62534074255206
1,"FS","Jaquiski Tartt",2552391,44,0.567233865580438,0.49692624495871,0.340493350891758,0.340493350891758,0,0,0
1,"S","Isaiah Johnson",2556567,21,0.538319703277053,0.504763793434865,0.27527588888666,0.27527588888666,0,0,0
1,"CB","Ken Crawley",2556735,78,0.501282891655976,2.185110376454,0.244740379360421,0.264570983308995,1,0.0126582278481013,-1.81135809129775
